
> landing@0.1.0 dev C:\Users\anıl\Desktop\AIDR PROJECT\aidr-landing
> next dev -p 4567

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:4567
- Network:       http://172.31.0.1:4567
- Environments: .env.local
✓ Ready in 5.3s
- Experiments (use with caution):
  · clientTraceMetadata
  · optimizePackageImports

 GET /onboarding 200 in 966ms (next.js: 530ms, proxy.ts: 4ms, application-code: 432ms)
 GET /api/v1/install-prompt 200 in 12.5s (next.js: 12.5s, proxy.ts: 6ms, application-code: 12ms)
 GET /api/v1/install-prompt 200 in 19ms (next.js: 12ms, proxy.ts: 3ms, application-code: 3ms)
 GET /billing 200 in 1267ms (next.js: 1026ms, proxy.ts: 7ms, application-code: 234ms)
 GET /api/v1/agents/count 200 in 22ms (next.js: 13ms, proxy.ts: 4ms, application-code: 6ms)
 GET /onboarding 200 in 34ms (next.js: 3ms, proxy.ts: 5ms, application-code: 26ms)
 GET /api/v1/agents/count 200 in 24ms (next.js: 15ms, proxy.ts: 4ms, application-code: 6ms)
 GET /api/v1/agents/count 200 in 15ms (next.js: 6ms, proxy.ts: 5ms, application-code: 4ms)
 GET /dashboard 200 in 69ms (next.js: 32ms, proxy.ts: 4ms, application-code: 34ms)
✓ Finished filesystem cache database compaction in 10.2s
 GET /agents 200 in 94ms (next.js: 48ms, proxy.ts: 7ms, application-code: 39ms)
 GET /incidents 200 in 69ms (next.js: 39ms, proxy.ts: 4ms, application-code: 26ms)
 GET /events 200 in 63ms (next.js: 34ms, proxy.ts: 5ms, application-code: 24ms)
 GET /onboarding 200 in 30ms (next.js: 3ms, proxy.ts: 4ms, application-code: 23ms)
 GET /onboarding 200 in 30ms (next.js: 3ms, proxy.ts: 5ms, application-code: 22ms)
 GET /onboarding 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /onboarding 200 in 31ms (next.js: 4ms, proxy.ts: 5ms, application-code: 23ms)
 GET /api/v1/install-prompt 200 in 29ms (next.js: 19ms, proxy.ts: 4ms, application-code: 7ms)
 GET /onboarding 200 in 34ms (next.js: 3ms, proxy.ts: 4ms, application-code: 27ms)
